PDs,File Size(GB),Max File(GB),#Evts(K),#Lumis,avg. Evt Size(MB),avg. Lumi Size (GB)
MinimumBias1,658,1.479,53740,3700,0.012,0.178
MinimumBias16,662,1.482,54079,3690,0.012,0.180
ppForward,589,3.059,30763,3969,0.019,0.149
HighMultiplicity,369,3.044,7708,3753,0.048,0.098
FullTrack,27,0.902,586,2679,0.046,0.010
BTagCSV,35,3.142,605,4235,0.058,0.008
HeavyFlavor,464,4.379,12000,4235,0.039,0.110
JetHT,37,4.148,639,4235,0.059,0.009
HighPtJet80,488,4.281,9345,4235,0.052,0.115
HighPtLowerJets,928,4.274,22468,4234,0.041,0.219
DoubleMu,303,4.297,6192,4022,0.049,0.076
MuPlusX,268,4.293,4821,4022,0.056,0.067
SingleMuHighPt,807,4.308,18619,2923,0.043,0.276
SingleMuLowPt,1300,4.241,30544,2923,0.043,0.445
AOD,6941,4.379,252117,52855,0.028,0.131
